Date,Open,High,Low,Close,Volume
20-Sep-16,2014.50,2026.56,2010.25,2025.71,362345000
19-Sep-16,1997.43,2019.45,1997.10,2015.78,434438000
13-Sep-16,2011.93,2013.03,1997.58,1999.36,437424000
12-Sep-16,2003.67,2011.04,1991.47,1991.48,422882000
9-Sep-16,2048.94,2049.30,2029.46,2037.87,392682000
8-Sep-16,2064.96,2070.66,2053.20,2063.73,656653000
7-Sep-16,2068.81,2073.89,2061.88,2061.88,687157000
6-Sep-16,2058.21,2067.77,2057.26,2066.53,462549000
5-Sep-16,2049.19,2061.00,2047.49,2060.08,572966000
2-Sep-16,2033.92,2039.18,2030.17,2038.31,342631000
1-Sep-16,2022.96,2032.72,2016.47,2032.72,300506000
31-Aug-16,2038.58,2041.17,2027.24,2034.65,400952000
30-Aug-16,2038.60,2049.99,2036.76,2039.74,378563000
29-Aug-16,2028.64,2034.63,2024.93,2032.35,316969000
26-Aug-16,2036.74,2039.91,2027.68,2037.50,288184000
25-Aug-16,2041.58,2046.00,2035.01,2042.92,277432000
24-Aug-16,2050.82,2052.74,2039.53,2043.76,285183000
23-Aug-16,2044.27,2051.43,2041.86,2049.93,360414000
22-Aug-16,2054.37,2054.71,2040.51,2042.16,343502000
19-Aug-16,2057.90,2059.30,2049.52,2056.24,392318000
18-Aug-16,2048.15,2056.09,2041.90,2055.47,353080000
17-Aug-16,2045.37,2048.29,2032.53,2043.75,391714000
16-Aug-16,2056.00,2063.09,2047.73,2047.76,374872000
12-Aug-16,2053.82,2060.84,2046.15,2050.47,376489000
11-Aug-16,2042.64,2048.80,2035.25,2048.80,346081000
10-Aug-16,2043.03,2049.36,2039.86,2044.64,331091000
9-Aug-16,2033.52,2046.03,2032.18,2043.78,436716000
8-Aug-16,2025.55,2031.14,2018.81,2031.12,270484000
5-Aug-16,2006.23,2018.16,2004.37,2017.94,289293000
4-Aug-16,2006.08,2006.48,1994.73,2000.03,326514000
3-Aug-16,2008.68,2008.68,1993.00,1994.79,485853000
2-Aug-16,2023.55,2026.10,2017.59,2019.03,409940000
1-Aug-16,2024.71,2031.58,2024.57,2029.61,369588000
29-Jul-16,2023.24,2028.99,2016.19,2016.19,366385000
28-Jul-16,2029.07,2029.38,2014.36,2021.10,350881000
27-Jul-16,2027.07,2030.69,2021.15,2025.05,411661000
26-Jul-16,2009.40,2027.34,2008.25,2027.34,338607000
25-Jul-16,2014.74,2020.69,2006.63,2012.32,350230000
22-Jul-16,2005.37,2014.44,2002.66,2010.34,320954000
21-Jul-16,2019.36,2020.55,2007.59,2012.22,391049000
20-Jul-16,2013.40,2015.47,2003.87,2015.46,316335000
19-Jul-16,2022.80,2023.22,2010.27,2016.89,380797000
18-Jul-16,2018.22,2022.11,2012.30,2021.11,380091000
15-Jul-16,2015.37,2022.34,2011.10,2017.26,477808000
14-Jul-16,2004.12,2009.67,1997.94,2008.77,340227000
13-Jul-16,2007.65,2013.60,1995.84,2005.55,357643000
12-Jul-16,1991.13,1998.03,1986.45,1991.23,432650000
11-Jul-16,1979.36,1990.95,1977.81,1988.54,337763000
8-Jul-16,1972.28,1979.75,1956.91,1963.10,356526000
7-Jul-16,1963.30,1976.49,1959.83,1974.08,378755000
6-Jul-16,1980.11,1982.80,1944.33,1953.12,457438000
5-Jul-16,1995.69,1996.77,1985.94,1989.85,405487000
4-Jul-16,1989.44,1997.37,1985.11,1995.30,468611000
1-Jul-16,1977.36,1993.98,1975.89,1987.32,448128000
30-Jun-16,1971.54,1972.81,1959.28,1970.35,349862000
29-Jun-16,1946.31,1966.21,1941.90,1956.36,451186000
28-Jun-16,1907.71,1937.99,1907.49,1936.22,373459000
27-Jun-16,1901.85,1926.87,1900.83,1926.85,394266000
24-Jun-16,2001.55,2001.55,1892.75,1925.24,750546000
23-Jun-16,1989.42,1990.71,1980.14,1986.71,455389000
22-Jun-16,1981.78,1994.76,1979.37,1992.58,407434000
21-Jun-16,1977.80,1983.87,1971.99,1982.70,557437000
20-Jun-16,1974.43,1984.07,1969.56,1981.12,391345000
17-Jun-16,1966.23,1970.54,1949.60,1953.40,485269000
16-Jun-16,1971.53,1974.01,1944.80,1951.99,438794000
15-Jun-16,1972.00,1975.87,1960.97,1968.83,376769000
14-Jun-16,1976.80,1982.32,1965.34,1972.03,439936000
13-Jun-16,2001.03,2001.79,1976.69,1979.06,443001000
10-Jun-16,2022.77,2022.77,2014.15,2017.63,404303000
9-Jun-16,2028.02,2035.27,2012.14,2024.17,599680000
8-Jun-16,2013.72,2027.09,2008.59,2027.08,497934000
7-Jun-16,1993.08,2011.67,1992.77,2011.63,481348000
3-Jun-16,1991.58,1991.58,1979.66,1985.84,540858000
2-Jun-16,1983.86,1988.00,1978.82,1985.11,474228000
1-Jun-16,1976.87,1986.76,1975.82,1982.72,502290000
31-May-16,1962.47,1984.18,1958.16,1983.40,657045000
30-May-16,1969.72,1970.54,1955.49,1967.13,550502000
27-May-16,1962.33,1971.27,1959.75,1969.17,523531000
26-May-16,1965.81,1967.45,1955.97,1957.06,558263000
25-May-16,1953.63,1964.91,1951.17,1960.51,656874000
24-May-16,1951.18,1951.39,1937.67,1937.68,517076000
23-May-16,1954.26,1956.77,1940.44,1955.25,399513000
20-May-16,1943.84,1951.50,1940.36,1947.67,388051000
19-May-16,1953.91,1954.29,1942.48,1946.78,505920000
18-May-16,1962.78,1964.34,1945.56,1956.73,696273000
17-May-16,1973.86,1975.10,1962.57,1968.06,597582000
16-May-16,1961.91,1970.53,1961.32,1967.91,526717000
13-May-16,1979.97,1980.45,1962.77,1966.99,509123000
12-May-16,1973.28,1981.49,1970.54,1977.49,462882000
11-May-16,1989.17,1989.17,1970.48,1980.10,398532000
10-May-16,1965.86,1982.50,1964.90,1982.50,369085000
9-May-16,1974.52,1976.14,1962.92,1967.81,342189000
4-May-16,1978.24,1982.38,1969.22,1976.71,352695000
3-May-16,1988.34,1989.41,1979.66,1986.41,310492000
2-May-16,1991.84,1991.84,1977.03,1978.15,328194000
29-Apr-16,1998.68,1999.34,1983.30,1994.15,401063000
28-Apr-16,2020.83,2022.99,1998.60,2000.93,341142000
27-Apr-16,2019.31,2019.86,2012.75,2015.40,412802000
26-Apr-16,2013.26,2021.59,2011.85,2019.63,509281000
25-Apr-16,2016.05,2016.65,2007.18,2014.55,397674000
22-Apr-16,2014.93,2017.90,2010.94,2015.49,480470000
21-Apr-16,2014.60,2022.10,2009.45,2022.10,392096000
20-Apr-16,2017.05,2023.77,2005.82,2005.83,423964000
19-Apr-16,2015.10,2020.29,2007.68,2011.36,401236000
18-Apr-16,2001.35,2009.55,1998.49,2009.10,339248000
15-Apr-16,2013.38,2016.95,2008.68,2014.71,317709000
14-Apr-16,2004.15,2016.03,2000.83,2015.93,473519000
12-Apr-16,1970.50,1981.73,1968.50,1981.32,387318000
11-Apr-16,1972.25,1973.90,1963.21,1970.37,379537000
8-Apr-16,1961.29,1972.12,1954.11,1972.05,400616000
